link,title,summary,Date Published,Country Code,Language Code,Authors,Keywords,Domain Rank,Sources,Publication Url,summary,ilr_quantized,ilr_range,ilr_regressed,translated_summary,
https://www.msn.com/de-at/nachrichten/inland/biker-rasen-mit-193-km-h-jetzt-ist-duo-den-schein-los/ar-aa1oa374,Biker rasen mit 193 km/h – jetzt ist Duo den Schein los,,2024-08-10T20:50:34Z,us,german,[],[],110,['newscatcher'],www.msn.com,"Von ""erheblichen Geschwindigkeitsübertretungen"" berichtet die Landespolizeidirektion Kärnten am Samstagabend. Gleich zwei Motorradlenker – beide 21 Jahre alt – wurden am Samstag (10.08.2024) gegen 13....",1.5,"[0.6991869276153815, 1.9804878434307711]",1.33983738552308,"The Carinthian State Police Directorate reported on Saturday evening that there had been ""significant speeding violations"". Two motorcyclists – both 21 years old",
https://www.bloomberg.com/news/articles/2024-08-12/partners-group-erwagt-im-september-startschuss-fur-techem-ipo,Partners Group erwägt im September Startschuss für Techem-IPO,,2024-08-12T05:00:00Z,us,german,['Swetha Gopinath'],[],99,['newscatcher'],www.bloomberg.com,"Das Investmenthaus Partners Group erwägt informierten Kreisen zufolge, noch im September den Startschuss für einen Börsengang des Eschborner Energieabrechnungs-Spezialisten Techem zu geben. Das Schwei...",1.5,"[0.8702198120246494, 1.8778681127852104]",1.37404396240493,"According to informed sources, the investment firm Partners Group is considering launching an IPO of the Eschborn-based energy company in September.",
https://www.msn.com/de-de/finanzen/top-stories/erwerbsminderungsrente-steigt-um-fast-500-euro-wie-rentner-davon-profitieren/ar-aa1obmjb,Erwerbsminderungsrente steigt um fast 500 Euro: Wie Rentner davon profitieren,,2024-08-11T15:05:56Z,us,german,['Christoph Gschoßmann'],[],110,['newscatcher'],www.msn.com,"Ab Juli gibt es zudem Zuschläge Erwerbsgeminderte können sich über mehr Geld vom Staat freuen. Ein Grund dafür ist die Zurechnungszeit, die für ein ordentliches Plus sorgt. München – Wer eine gesetzli...",1.5,"[1.300353459417146, 1.6197879243497124]",1.46007069188343,"From July, there will also be additional payments. People with reduced earning capacity can look forward to more money from the state. One reason for this is the credit period that is required for an",
https://www.msn.com/de-ch/nachrichten/other/mediamarkt-gutscheinheft-die-besten-angebote-der-rabattaktion/ar-bb1qx2v7,MediaMarkt Gutscheinheft: Das sind die besten Angebote der Rabattaktion,,2024-08-10T16:39:13Z,us,german,['Marvin Basse'],[],110,['newscatcher'],www.msn.com,"MediaMarkt hat seine beliebte Gutscheinheft-Aktion auch im neuen Jahr wieder aufgelegt und wartet mit einigen echten Highlights auf. Unter anderem könnt ihr euch Smart-TVs, Notebooks, Dyson-Geräte und...",1,"[0.8910079711450174, 1.181653381424971]",1.03633067628499,"MediaMarkt has launched its popular voucher booklet campaign again in the new year and has some real highlights in store. Among other things,",
https://www.msn.com/de-at/nachrichten/other/5-sternzeichen-die-im-august-2024-eine-harte-wahrheit-erfahren/ar-bb1r288u,"5 Sternzeichen, die im August 2024 eine harte Wahrheit erfahren",,2024-08-11T10:05:00Z,us,german,['Annika Strobel'],[],110,['newscatcher'],www.msn.com,"Der August bringt für einige Sternzeichen eine Zeit der Offenbarungen und Erkenntnisse. Die kosmischen Konstellationen fördern die Aufdeckung verborgener Wahrheiten, die zwar schmerzhaft sein können, ...",1.5,"[1.1993365260408564, 2.001105789931906]",1.60022115798638,August brings a time of revelations and insights for some signs of the zodiac. The cosmic constellations promote the uncovering of hidden,
https://www.msn.com/de-ch/unterhaltung/other/mr-big-wa-h-re-gr%c3%b6%c3%9fe/ar-aa1obyeu,Mr. Big: Wa(h)re Größe,,2024-08-11T09:00:07Z,us,german,['Frank Thießies'],[],110,['newscatcher'],www.msn.com,"Während sich die Hard Rock-Supergroup MR. BIG derzeit noch auf ihrer 'The Big Finish'-Tournee befindet, erscheint mit TEN zugleich ihr (voraussichtlich) letztes Album. Während sich die Hard Rock-Super...",1,"[0.6881856370772685, 1.519690604871219]",1.10393812097424,"While the hard rock supergroup MR. BIG is currently still on their 'The Big Finish' tour, TEN will also be releasing their (presumably",
https://www.msn.com/de-at/gesundheit/ernaehrung/warum-man-linse-essen-sollte-die-ern%c3%a4hrungsberater-teilen-ihre-ratschl%c3%a4ge/ar-aa1oamb5,Warum Man Linse Essen Sollte: Die Ernährungsberater Teilen Ihre Ratschläge,,2024-08-11T21:28:38Z,us,german,['Iyanuoluwa Oyetunji'],[],110,['newscatcher'],www.msn.com,→ Linse: Weitere Perspektiven anzeigen → Gesundheitsrisiken von Linse. Lassen Sie sich von Experten beraten. → Linse: Weitere Perspektiven anzeigen → Gesundheitsrisiken von Linse. Lassen Sie sich von ...,1.5,"[1.0490396263671795, 1.7705762241796923]",1.40980792527344,→ Lens: See more perspectives → Health risks of lens. Get expert advice. → Lens: See more perspectives →,
https://www.bloomberg.com/news/articles/2024-08-12/ezb-lockerung-durfte-laut-okonomen-umfrage-schon-2025-enden,EZB-Lockerung dürfte laut Ökonomen-Umfrage schon 2025 enden,,2024-08-12T08:41:51Z,us,german,['Jana Randow'],[],99,['newscatcher'],www.bloomberg.com,Volkswirte haben ihre Erwartungen zum Ende des geldpolitischen Lockerungszyklus der Europäischen Zentralbank nach vorn verlegt. In der jüngsten Ökonomen-Umfrage von Bloomberg News gehen die Experten d...,1.5,"[1.1217012929468138, 1.7269792242319117]",1.42434025858936,Economists have brought forward their expectations for the end of the European Central Bank’s monetary easing cycle. In the latest Economist,
https://www.msn.com/de-ch/nachrichten/other/unsere-hypozinsen-sind-h%c3%b6her-als-sie-sein-sollten-die-gr%c3%bcnde/ar-aa1oaupd,Die Hypozinsen müssten weiter sinken – doch stattdessen steigen die Margen der Banken,,2024-08-11T00:24:42Z,us,german,['Daniela Wyler'],[],110,['newscatcher'],www.msn.com,"Die Preise für Hypotheken sind höher als sie sein sollten. Experten erklären die Gründe und was die CS-Übernahme damit zu tun hat. Die Preise für Hypotheken sind nicht so stark gesunken, wie sie eigen...",2,"[1.1514936539155145, 2.5091038076506913]",1.8302987307831,The prices for mortgages are higher than they should be. Experts explain the reasons and what the CS takeover has to do with it. The prices for mortgages,
https://medium.com/@ftcphcv/investitionen-in-die-drohnenrevolution-der-ukraine-chancen-und-innovationen-572194932e4c,Investitionen in die Drohnenrevolution der Ukraine: Chancen und Innovationen,,2024-08-11T08:38:56Z,us,german,"['Florentine Dömges','https://medium.com/@ftcphcv']","['Drones','Ukraine War','Ukraine','Artificial Intelligence']",51,['newscatcher'],medium.com,Die Drohnenindustrie der Ukraine ist zu einem entscheidenden Bestandteil der Verteidigungsstrategie des Landes geworden und zeigt bemerkenswerte Widerstandsfähigkeit und Innovationskraft. Mit über 200...,1.5,"[1.069767783175879, 2.2170536947068684]",1.64341073894137,Ukraine’s drone industry has become a crucial part of the country’s defense strategy and is showing remarkable,
